"p1_red","farm_red","pct_hunt","scenario","mean_prev","fadeout"
0.2,0.4,0.95,"spillover",5.85472359616186e-05,1
0.2,0.45,0.2,"spillover",5.84489887063019e-05,1
0.2,0.45,0.5,"spillover",6.45267863030611e-05,1
0.2,0.45,0.95,"spillover",6.47691821884399e-05,0.994
0.2,0.5,0.2,"spillover",6.25329137979156e-05,0.998
0.2,0.5,0.5,"spillover",3.69680830266592e-05,0.998
0.2,0.5,0.95,"spillover",4.81847367407456e-05,1
0.2,0.55,0.2,"spillover",6.33355045581936e-05,0.998
0.2,0.55,0.5,"spillover",5.21279481396406e-05,0.998
0.2,0.55,0.95,"spillover",5.2099644307777e-05,1
0.2,0.6,0.2,"spillover",5.2933312691656e-05,0.996
0.2,0.6,0.5,"spillover",3.75675681027426e-05,0.996
0.2,0.6,0.95,"spillover",2.15711875881196e-05,1
0.2,0.65,0.2,"spillover",2.08429656996752e-05,1
0.2,0.65,0.5,"spillover",2.14844246127385e-05,1
0.2,0.65,0.95,"spillover",2.64700777203825e-05,0.998
0.2,0.7,0.2,"spillover",4.71852815631223e-05,1
0.2,0.7,0.5,"spillover",4.72783338654601e-05,0.996
0.2,0.7,0.95,"spillover",1.58172226841064e-05,1
0.2,0.75,0.2,"spillover",5.22193211488251e-06,1
0.2,0.75,0.5,"spillover",3.73517152993741e-05,0.998
0.2,0.75,0.95,"spillover",1.06410074996462e-05,0.998
0.2,0.8,0.2,"spillover",1.1096746390864e-05,0.998
0.2,0.8,0.5,"spillover",1.59438803235149e-05,1
0.2,0.8,0.95,"spillover",3.22994584632017e-05,0.996
0.2,0.85,0.2,"spillover",1.09618662201833e-05,1
0.2,0.85,0.5,"spillover",5.15463917525773e-06,1
0.2,0.85,0.95,"spillover",2.6928729141628e-05,0.998
0.2,0.9,0.2,"spillover",5.40540540540541e-06,1
0.2,0.9,0.5,"spillover",1.03980986333928e-05,1
0.2,0.9,0.95,"spillover",5.12820512820513e-06,1
0.2,0.95,0.2,"spillover",1.03494443700629e-05,1
0.2,0.95,0.5,"spillover",0,1
0.2,0.95,0.95,"spillover",0,1
0.2,1,0.2,"spillover",0,1
0.2,1,0.5,"spillover",0,1
0.2,1,0.95,"spillover",0,1
0.25,0,0.2,"spillover",7.47166953267595e-05,0.996
0.25,0,0.5,"spillover",0.000137549037219233,0.996
0.25,0,0.95,"spillover",9.20062009017431e-05,1
0.25,0.05,0.2,"spillover",6.78262184005994e-05,1
0.25,0.05,0.5,"spillover",7.61487373225405e-05,0.998
0.25,0.05,0.95,"spillover",0.00012389592886985,0.99
0.25,0.1,0.2,"spillover",0.000112226503867628,0.998
0.25,0.1,0.5,"spillover",0.00010085040088988,1
0.25,0.1,0.95,"spillover",0.000107308797005729,0.998
0.25,0.15,0.2,"spillover",6.90772375298783e-05,1
0.25,0.15,0.5,"spillover",0.000102551321841494,1
0.25,0.15,0.95,"spillover",8.0150595170192e-05,1
0.25,0.2,0.2,"spillover",9.60382969208305e-05,0.996
0.25,0.2,0.5,"spillover",9.05690754309271e-05,0.998
0.25,0.2,0.95,"spillover",6.44473457818153e-05,0.998
0.25,0.25,0.2,"spillover",9.72811990931282e-05,0.994
0.25,0.25,0.5,"spillover",9.20402611992245e-05,0.996
0.25,0.25,0.95,"spillover",5.96989078170223e-05,0.998
0.25,0.3,0.2,"spillover",6.34503190407801e-05,0.998
0.25,0.3,0.5,"spillover",8.57310226369983e-05,0.996
0.25,0.3,0.95,"spillover",0.000108549002990055,1
0.25,0.35,0.2,"spillover",5.33251908094134e-05,0.998
0.25,0.35,0.5,"spillover",8.00118267230559e-05,0.996
0.25,0.35,0.95,"spillover",8.63102595207085e-05,0.996
0.25,0.4,0.2,"spillover",4.84898807475026e-05,0.998
0.25,0.4,0.5,"spillover",5.24513806203688e-05,0.996
0.25,0.4,0.95,"spillover",5.30602464719929e-05,0.996
0.25,0.45,0.2,"spillover",3.7272437747393e-05,1
0.25,0.45,0.5,"spillover",4.92289640234709e-05,1
0.25,0.45,0.95,"spillover",9.01955062232819e-05,0.992
0.25,0.5,0.2,"spillover",6.95672816723885e-05,0.996
0.25,0.5,0.5,"spillover",5.31356824646135e-05,0.996
0.25,0.5,0.95,"spillover",5.88017327074026e-05,0.998
0.25,0.55,0.2,"spillover",6.90802173650087e-05,0.996
0.25,0.55,0.5,"spillover",4.85438548478032e-05,0.998
0.25,0.55,0.95,"spillover",5.86872041429142e-05,0.998
0.25,0.6,0.2,"spillover",3.70097952057952e-05,0.998
0.25,0.6,0.5,"spillover",4.18893290850902e-05,0.998
0.25,0.6,0.95,"spillover",5.86653973313617e-05,0.998
0.25,0.65,0.2,"spillover",2.13800621222913e-05,1
0.25,0.65,0.5,"spillover",4.30650946630099e-05,0.996
0.25,0.65,0.95,"spillover",2.09354704808189e-05,1
0.25,0.7,0.2,"spillover",6.34112019717187e-05,0.996
0.25,0.7,0.5,"spillover",5.83930053550158e-05,0.996
0.25,0.7,0.95,"spillover",4.88715441282458e-05,0.998
0.25,0.75,0.2,"spillover",1.65707215036974e-05,1
0.25,0.75,0.5,"spillover",2.11062929954352e-05,0.998
