"size","pct_hunt","prev_ratio","fadeout"
600,0.15,0.1394652138,NA
600,0.2,0.181374519266667,0.002
600,0.25,0.217230862833333,0.002
600,0.3,0.258289990733333,NA
600,0.35,0.2925591579,NA
600,0.4,0.327632005266667,NA
600,0.45,0.352511161766667,NA
600,0.5,0.390134952633333,0.002
600,0.55,0.417941667366667,0.002
600,0.6,0.4443387866,0.004
600,0.65,0.473046133166667,NA
600,0.7,0.492231265366667,0.008
600,0.75,0.514566152766667,0.002
600,0.8,0.548774266466667,NA
600,0.85,0.566173977466667,NA
600,0.9,0.588972212533333,NA
600,0.95,0.605954850066667,0.006
600,1,0.626700189166667,0.002
625,0,0,NA
625,0.05,0.0471895183333333,NA
625,0.1,0.0921708462666667,NA
625,0.15,0.137976159466667,0.002
625,0.2,0.1778729738,0.002
625,0.25,0.224258297266667,NA
625,0.3,0.254375139066667,NA
625,0.35,0.2931182528,NA
625,0.4,0.3282512068,0.002
625,0.45,0.367839847666667,NA
625,0.5,0.391420508266667,NA
625,0.55,0.424649662033333,NA
625,0.6,0.452724329033333,NA
625,0.65,0.474972838133333,0.002
625,0.7,0.500975939166667,NA
625,0.75,0.5201131083,0.002
625,0.8,0.540644831133333,NA
625,0.85,0.573088831533333,NA
625,0.9,0.594215819133333,NA
625,0.95,0.607572918033333,NA
625,1,0.627164441433333,0.002
650,0,0,0.002
650,0.05,0.04997251,NA
650,0.1,0.092721507,NA
650,0.15,0.1386922141,NA
650,0.2,0.179446301833333,NA
650,0.25,0.220147549533333,0.002
650,0.3,0.2562260968,NA
650,0.35,0.294568917466667,0.002
650,0.4,0.331295325866667,NA
650,0.45,0.359333051266667,NA
650,0.5,0.3900394872,0.002
650,0.55,0.421843340833333,NA
650,0.6,0.447963184,NA
650,0.65,0.488834197233333,NA
650,0.7,0.497262507533333,NA
650,0.75,0.522885067833333,NA
650,0.8,0.547377520166667,0.002
650,0.85,0.565760704633333,NA
650,0.9,0.586475968966667,0.002
650,0.95,0.6035379206,NA
650,1,0.6289618898,NA
675,0,0,0.004
675,0.05,0.048285313,NA
675,0.1,0.0932861099666667,NA
675,0.15,0.1384555246,NA
675,0.2,0.177108074266667,0.002
675,0.25,0.218906342366667,NA
675,0.3,0.2572626428,NA
675,0.35,0.2875653694,0.002
675,0.4,0.326588103,0.004
675,0.45,0.3643510525,NA
675,0.5,0.392719806833333,NA
675,0.55,0.418179403966667,0.002
675,0.6,0.460872936633333,NA
675,0.65,0.473079805,NA
675,0.7,0.497034929333333,NA
675,0.75,0.518889253266667,NA
675,0.8,0.5511010166,NA
675,0.85,0.569692536333333,0.002
675,0.9,0.5882460477,NA
675,0.95,0.606160341666667,0.002
675,1,0.627981000066667,NA
700,0,0,NA
700,0.05,0.0469277909333333,0.002
700,0.1,0.0940623673666667,NA
700,0.15,0.1375892243,0.004
700,0.2,0.180235150833333,NA
700,0.25,0.220205568966667,NA
700,0.3,0.2547227925,NA
700,0.35,0.2943699624,NA
700,0.4,0.328816843466667,NA
700,0.45,0.3536282445,NA
700,0.5,0.388216595933333,NA
700,0.55,0.422281356733333,NA
700,0.6,0.451822482533333,NA
700,0.65,0.465578054633333,NA
700,0.7,0.510527637266667,NA
700,0.75,0.523838567066667,NA
700,0.8,0.5479659374,0.002
700,0.85,0.563836465333333,NA
700,0.9,0.591231715733333,NA
700,0.95,0.607163442033333,NA
700,1,0.629095858633333,NA
725,0,0,NA
725,0.05,0.049571659,NA
725,0.1,0.0992767278333333,NA
725,0.15,0.140437281066667,NA
725,0.2,0.176224725533333,NA
725,0.25,0.221269200266667,NA
725,0.3,0.256520987766667,NA
725,0.35,0.293368634333333,NA
725,0.4,0.326546887833333,NA
725,0.45,0.358963210733333,NA
725,0.5,0.3956406036,0.002
725,0.55,0.426566432166667,NA
725,0.6,0.445423916233333,0.004
725,0.65,0.479977643133333,NA
725,0.7,0.5039016712,NA
725,0.75,0.519041552333333,NA
725,0.8,0.5519651716,NA
725,0.85,0.5652989601,NA
725,0.9,0.5921198789,NA
725,0.95,0.613955365766667,NA
725,1,0.632355728,NA
750,0,0,NA
750,0.05,0.0490657763333333,NA
750,0.1,0.0924986046333333,NA
750,0.15,0.140001927133333,NA
750,0.2,0.179087628366667,NA
750,0.25,0.2201468042,NA
750,0.3,0.2630441426,NA
750,0.35,0.294046916966667,NA
750,0.4,0.328783421766667,NA
750,0.45,0.3602079049,NA
750,0.5,0.3904824917,NA
750,0.55,0.418756611233333,NA
750,0.6,0.445094904066667,NA
750,0.65,0.466569953433333,0.002
750,0.7,0.5014272765,NA
750,0.75,0.524581101033333,NA
750,0.8,0.551503179133333,NA
750,0.85,0.572654112333333,NA
750,0.9,0.589056659933333,NA
750,0.95,0.6094376696,NA
750,1,0.628220148066667,NA
